Métier,Bloc,Statut,Niveau_MIN,Background_min,Localisation,Situation,Relation_vivant,Type_activite,Competences_cles,Poids_Q1,Poids_Q2,Poids_Q3,Poids_Q4,Poids_Q5,Poids_Q6,Poids_Q7,Poids_Q8
Responsable entrepôt,Logistique distribution,Tension,5,BTSA,Flexible,Capital,Tech,Piloter,Leadership - organisation - rigueur,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable supply chain,Logistique distribution,Autre,6,Master,Flexible,Capital,Management,Piloter,Stratégie - coordination - impact systémique,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Gestionnaire de flux,Logistique distribution,Tension,4,BTSA,Flexible,Capital,Tech,Piloter,Organisation - rigueur - responsabilité,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable distribution,Logistique distribution,Autre,5,BTSA,Flexible,Capital,Management,Piloter,Leadership - stratégie - responsabilité,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable logistique circuits courts,Logistique distribution,Émergent,5,BTSA,Urbain/Campagne,Capital,Tech,Piloter,Innovation - relocalisation - impact local,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Chargé logistique bas carbone,Logistique distribution,Émergent,6,Master,Flexible,Capital,Tech,Analyser,Urgence climatique - innovation - impact,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable supply chain durable,Logistique distribution,Émergent,6,Master,Flexible,Capital,Management,Piloter,Impact environnemental - stratégie - responsabilité,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Coordinateur plateforme alimentaire territoriale,Logistique distribution,Émergent,5,BTSA,Urbain/Campagne,Capital,Management,Piloter,Coordination - impact territorial - innovation,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable drive fermier,Logistique distribution,Autre,4,BTSA,Urbain,Capital,Tech,Transformer,Numérique - relocalisation - innovation - client,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Gestionnaire flux alimentaires locaux,Logistique distribution,Émergent,4,BTSA,Urbain/Campagne,Capital,Tech,Piloter,Coordination - organisation - impact local,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Coordinateur circuits courts,Logistique distribution,Émergent,5,BTSA,Urbain/Campagne,Capital,Management,Piloter,Coordination - réseau - impact local - ESS,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable restauration collective durable,Restauration,Émergent,5,BTSA,Urbain,Capital,Management,Transformer,Durabilité - responsabilité - qualité - impact social,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable achats durables,Restauration,Émergent,6,Master,Urbain,Capital,Management,Piloter,Impact - responsabilité - stratégie - relation fournisseurs,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable anti-gaspillage,Restauration,Émergent,4,BTSA,Urbain,Capital,Tech,Analyser,Impact - innovation - économies - environnement,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Cuisinier / chef cuisinier,Restauration,Tension,3,CAP,Urbain,Zéro,Plantes,Transformer,Passion culinaire - créativité - stabilité financière,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable restauration collective,Restauration,Tension,5,BTSA,Urbain,Capital,Management,Piloter,Leadership - responsabilité - qualité - impact,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Aide cuisine,Restauration,Tension,3,CAP,Urbain,Zéro,Plantes,Produire,Compétence - stabilité - équipe,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Serveur,Restauration,Tension,3,CAP,Urbain,Zéro,Management,Produire,Compétence - relation client - stabilité,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Boulanger,Restauration,Tension,3,CAP,Urbain/Campagne,Terrain,Plantes,Transformer,Compétence artisanale - autonomie - excellence,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Boucher,Restauration,Tension,3,CAP,Urbain/Campagne,Terrain,Animaux,Transformer,Compétence artisanale - qualité - autonomie,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Chef de projet alimentation durable,Restauration,Émergent,6,Master,Urbain,Capital,Management,Piloter,Stratégie - impact social - coordination,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Artisan métiers de bouche,Restauration,Autre,3,CAP,Urbain/Campagne,Capital,Plantes/Tech,Transformer,Autonomie - créativité - excellence - transmission,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Restaurateur engagé,Restauration,Autre,4,BTSA,Urbain,Capital,Management,Transformer,Autonomie - créativité - impact social - business,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Chargé·e de projet agroécologie collective,Transversal,Émergent,6,Master,Flexible,Capital,Management,Piloter,Impact systémique - coordination - pédagogie,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable politique publique alimentaire,Transversal,Émergent,7,Master,Urbain,Capital,Management,Piloter,Influence - stratégie - impact systémique,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Chef de projet territorial,Transversal,Autre,6,Master,Urbain/Campagne,Capital,Management,Piloter,Leadership - coordination - impact local,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Chargé·e d'expérimentation / transfert,Transversal,Émergent,6,Master,Flexible,Capital,Tech,Piloter,Innovation - liaison recherche - terrain - impact,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Community manager / chargé·e com',Transversal,Autre,5,BTSA,Urbain,Capital,Tech,Former,Transparence - impact image - engagement,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Référent·e bas-carbone,Transversal,Émergent,6,Master,Flexible,Capital,Tech,Analyser,Urgence climatique - innovation - impact,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Coordinateur centre formation,Transversal,Émergent,5,BTSA,Flexible,Capital,Management,Former,Pédagogie - coordination - impact formation,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Chef·fe de projet conventions public-privé,Transversal,Émergent,6,Master,Urbain,Capital,Management,Piloter,Stratégie - collaboration - innovation - impact,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable RSE,Transversal,Émergent,6,Master,Urbain,Capital,Management,Piloter,Impact social - environnemental - stratégie - responsabilité,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Diagnostic territorial,Transversal,Émergent,6,Master,Flexible,Capital,Tech,Analyser,Analyse systémique - impact - compréhension locale,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Formateur transition alimentaire,Transversal,Émergent,5,Master,Flexible,Capital,Management,Former,Pédagogie - expertise - transformation - impact,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Facilitateur transition,Transversal,Émergent,5,BTSA,Urbain/Campagne,Capital,Management,Piloter,Dialogue - inclusion - transformation - collectif,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Coordinateur ESS,Transversal,Émergent,5,BTSA,Urbain/Campagne,Capital,Management,Piloter,Solidarité - impact - réseau - innovation,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Conseiller accompagnement agricole,Transversal,Émergent,5,BTSA,Campagne/Flexible,Terrain,Management,Former,Expertise - accompagnement humain - confiance,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Accompagnateur reconversion,Transversal,Émergent,5,BTSA,Urbain,Capital,Management,Former,Empathie - guidance - transformation personnelle,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Consultant transition alimentaire,Transversal,Émergent,6,Master,Flexible,Capital,Management,Piloter,Expertise - stratégie - impact systémique,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Référent technique innovation,Transversal,Émergent,6,Master,Flexible,Capital,Tech,Piloter,Innovation - expertise - transmission,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
Responsable collecte données,Transversal,Émergent,5,Master,Flexible,Capital,Tech,Analyser,Rigueur - impact données - transparence,0.8,0.6,0.7,0.9,0.5,0,0.6,0.8
