Métier,Bloc,Statut,Niveau_MIN,Type métier générique,Thématique formation,Intentions clés,Formations prioritaires,Localisation,Situation,Background min,Relation vivant,Type activité,Rêve
Chargé ACV,Transformation agroalimentaire,Émergent,6,Analyste environnemental,Transformation locale & écoconception,Impact environnemental - rigueur - innovation - stratégie,Master environnement + modules ACV,Flexible,Capital,Master,Tech,Analyser,Piloter
Ingénieur agroalimentaire,Transformation agroalimentaire,Autre,7,Ingénieur agroalimentaire,Transformation locale & écoconception,Innovation - excellence - responsabilité - leadership,École ingénieur agro,Flexible,Capital,Master,Tech,Piloter,Piloter
Responsable atelier transformation local,Transformation agroalimentaire,Autre,4,Responsable petit atelier,Transformation locale & écoconception,Autonomie - relocalisation - innovation - impact local,CAP/BTS + modules Oya,Urbain/Campagne,Capital,BTSA,Plantes/Tech,Transformer,Installer
Responsable RSE agroalimentaire,Transformation agroalimentaire,Émergent,6,Responsable RSE,Transformation locale & écoconception,Transition écologique - impact social - leadership,Master RSE + modules Oya,Flexible,Capital,Master,Management,Piloter,Piloter
Chef·fe de projet circuits courts,Logistique distribution,Émergent,6,Coordinateur circuits courts,Circuits courts & relocalisation,Stratégie - coordination - impact local - résilience,Master logistique + modules Oya,Urbain/Flexible,Capital,Master,Management,Piloter,Piloter
Logisticien / agent logistique,Logistique distribution,Tension,3,Logisticien,Logistique durable & bas-carbone,Compétence technique - stabilité - organisation,CAP logistique,Flexible,Zéro,CAP,Tech,Produire,Installer
Préparateur de commandes,Logistique distribution,Tension,3,Préparateur logistique,Logistique durable & bas-carbone,Compétence - stabilité - organisation,CAP/BEP logistique,Flexible,Zéro,CAP,Tech,Produire,Installer
Logisticien (bac+2),Logistique distribution,Tension,4,Manager logistique,Logistique durable & bas-carbone,Leadership - organisation - responsabilité,BTS logistique,Flexible,Capital,BTSA,Tech,Piloter,Piloter
Chauffeur / livreur,Logistique distribution,Tension,3,Livreur,Logistique durable & bas-carbone,Autonomie - fiabilité - relation client,Permis + CAP,Flexible,Zéro,CAP,Tech,Produire,Installer
Responsable entrepôt,Logistique distribution,Tension,5,Manager entrepôt,Logistique durable & bas-carbone,Leadership - organisation - rigueur,BTS logistique,Flexible,Capital,BTSA,Tech,Piloter,Piloter
Responsable supply chain,Logistique distribution,Autre,6,Manager supply chain,Logistique durable & bas-carbone,Stratégie - coordination - impact systémique,Master supply chain,Flexible,Capital,Master,Management,Piloter,Piloter
Gestionnaire de flux,Logistique distribution,Tension,4,Gestionnaire flux,Logistique durable & bas-carbone,Organisation - rigueur - responsabilité,BTS logistique,Flexible,Capital,BTSA,Tech,Piloter,Piloter
Responsable distribution,Logistique distribution,Autre,5,Manager distribution,Logistique durable & bas-carbone,Leadership - stratégie - responsabilité,BTS/Master,Flexible,Capital,BTSA,Management,Piloter,Piloter
Responsable logistique circuits courts,Logistique distribution,Émergent,5,Responsable circuits courts,Circuits courts & relocalisation,Innovation - relocalisation - impact local,BTS + modules Oya,Urbain/Campagne,Capital,BTSA,Tech,Piloter,Piloter
Chargé logistique bas carbone,Logistique distribution,Émergent,6,Spécialiste décarbonation logistique,Transition énergétique & bas-carbone,Urgence climatique - innovation - impact,Master logistique durable + modules,Flexible,Capital,Master,Tech,Analyser,Piloter
Responsable supply chain durable,Logistique distribution,Émergent,6,Responsable supply chain durable,Logistique durable & bas-carbone,Impact environnemental - stratégie - responsabilité,Master supply chain + RSE,Flexible,Capital,Master,Management,Piloter,Piloter
Coordinateur plateforme alimentaire territoriale,Logistique distribution,Émergent,5,Coordinateur plateforme locale,Circuits courts & relocalisation,Coordination - impact territorial - innovation,Dev territorial + modules Oya,Urbain/Campagne,Capital,BTSA,Management,Piloter,Piloter
Responsable drive fermier,Logistique distribution,Autre,4,Responsable drive fermier,Circuits courts & relocalisation,Numérique - relocalisation - innovation - client,BTS commerce/logistique + modules Oya,Urbain,Capital,BTSA,Tech,Transformer,Installer
Gestionnaire flux alimentaires locaux,Logistique distribution,Émergent,4,Manager flux locaux,Circuits courts & relocalisation,Coordination - organisation - impact local,BTS logistique,Urbain/Campagne,Capital,BTSA,Tech,Piloter,Piloter
Coordinateur circuits courts,Logistique distribution,Émergent,5,Coordinateur circuits courts,Circuits courts & relocalisation,Coordination - réseau - impact local - ESS,Formations ESS + modules Oya,Urbain/Campagne,Capital,BTSA,Management,Piloter,Piloter
Responsable restauration collective durable,Restauration,Émergent,5,Responsable restauration collective,Restauration durable & anti-gaspillage,Durabilité - responsabilité - qualité - impact social,BTS hôtellerie + modules Oya,Urbain,Capital,BTSA,Management,Transformer,Piloter
Responsable achats durables,Restauration,Émergent,6,Responsable achats responsables,Restauration durable & anti-gaspillage,Impact - responsabilité - stratégie - relation fournisseurs,Master achats + modules Oya,Urbain,Capital,Master,Management,Piloter,Piloter
Responsable anti-gaspillage,Restauration,Émergent,4,Responsable anti-gaspi,Restauration durable & anti-gaspillage,Impact - innovation - économies - environnement,Formations économie circulaire + modules,Urbain,Capital,BTSA,Tech,Analyser,Transformer
Cuisinier / chef cuisinier,Restauration,Tension,3,Chef cuisinier,Restauration durable & anti-gaspillage,Passion culinaire - créativité - stabilité financière,CAP cuisine + HACCP,Urbain,Zéro,CAP,Plantes,Transformer,Installer
Responsable restauration collective,Restauration,Tension,5,Manager restauration,Restauration durable & anti-gaspillage,Leadership - responsabilité - qualité - impact,BTS hôtellerie-restauration,Urbain,Capital,BTSA,Management,Piloter,Piloter
Aide cuisine,Restauration,Tension,3,Aide cuisine,Restauration durable & anti-gaspillage,Compétence - stabilité - équipe,CAP cuisine,Urbain,Zéro,CAP,Plantes,Produire,Installer
Serveur,Restauration,Tension,3,Serveur-hôtesse,Restauration durable & anti-gaspillage,Compétence - relation client - stabilité,CAP restauration,Urbain,Zéro,CAP,Management,Produire,Installer
Boulanger,Restauration,Tension,3,Boulanger,Restauration durable & anti-gaspillage,Compétence artisanale - autonomie - excellence,CAP boulangerie,Urbain/Campagne,Terrain,CAP,Plantes,Transformer,Installer
Boucher,Restauration,Tension,3,Boucher,Restauration durable & anti-gaspillage,Compétence artisanale - qualité - autonomie,CAP boucher,Urbain/Campagne,Terrain,CAP,Animaux,Transformer,Installer
Chef de projet alimentation durable,Restauration,Émergent,6,Chef projet restauration,Restauration durable & anti-gaspillage,Stratégie - impact social - coordination,Master + modules Oya,Urbain,Capital,Master,Management,Piloter,Piloter
Artisan métiers de bouche,Restauration,Autre,3,Artisan bouche,Restauration durable & anti-gaspillage,Autonomie - créativité - excellence - transmission,CAP + BP,Urbain/Campagne,Capital,CAP,Plantes/Tech,Transformer,Installer
Restaurateur engagé,Restauration,Autre,4,Restaurateur,Restauration durable & anti-gaspillage,Autonomie - créativité - impact social - business,CAP + formation business,Urbain,Capital,BTSA,Management,Transformer,Installer
Chargé·e de projet agroécologie collective,Transversal,Émergent,6,Chef projet transition,Animation & formation transversale,Impact systémique - coordination - pédagogie,Master + modules Oya,Flexible,Capital,Master,Management,Piloter,Piloter
Responsable politique publique alimentaire,Transversal,Émergent,7,Responsable politiques,Gouvernance & politiques publiques,Influence - stratégie - impact systémique,Master politiques publiques,Urbain,Capital,Master,Management,Piloter,Piloter
Chef de projet territorial,Transversal,Autre,6,Chef projet territorial,Pilotage territorial & PAT,Leadership - coordination - impact local,Master développement territorial,Urbain/Campagne,Capital,Master,Management,Piloter,Piloter
Chargé·e d'expérimentation / transfert,Transversal,Émergent,6,Chargé transfert innovation,Pilotage territorial & PAT,Innovation - liaison recherche-terrain - impact,Master agro/innovation,Flexible,Capital,Master,Tech,Piloter,Piloter
Community manager / chargé·e com',Transversal,Autre,5,Manager communication,Animation & formation transversale,Transparence - impact image - engagement,BTS/Master communication,Urbain,Capital,BTSA,Tech,Former,Piloter
Référent·e bas-carbone,Transversal,Émergent,6,Spécialiste bas-carbone,Transition énergétique & bas-carbone,Urgence climatique - innovation - impact,Master énergie/climat,Flexible,Capital,Master,Tech,Analyser,Piloter
Coordinateur centre formation,Transversal,Émergent,5,Coordinateur formation,Animation & formation transversale,Pédagogie - coordination - impact formation,Formations pédagogiques + gestion,Flexible,Capital,BTSA,Management,Former,Former
Chef·fe de projet conventions public-privé,Transversal,Émergent,6,Chef projet partenariats,Gouvernance & politiques publiques,Stratégie - collaboration - innovation - impact,Master management/partenariat,Urbain,Capital,Master,Management,Piloter,Piloter
Responsable RSE,Transversal,Émergent,6,Responsable RSE,Gouvernance & politiques publiques,Impact social-environnemental - stratégie - responsabilité,Master RSE + modules Oya,Urbain,Capital,Master,Management,Piloter,Piloter
Diagnostic territorial,Transversal,Émergent,6,Analyste territorial,Pilotage territorial & PAT,Analyse systémique - impact - compréhension locale,Master développement,Flexible,Capital,Master,Tech,Analyser,Piloter
Formateur transition alimentaire,Transversal,Émergent,5,Formateur métiers,Animation & formation transversale,Pédagogie - expertise - transformation - impact,Master pédagogie + module Oya,Flexible,Capital,Master,Management,Former,Former
Facilitateur transition,Transversal,Émergent,5,Facilitateur collectif,Coordination & facilitation transversale,Dialogue - inclusion - transformation - collectif,Formations facilitation + modules Oya,Urbain/Campagne,Capital,BTSA,Management,Piloter,Piloter
Coordinateur ESS,Transversal,Émergent,5,Coordinateur ESS,Coordination & facilitation transversale,Solidarité - impact - réseau - innovation,Formations ESS + modules Oya,Urbain/Campagne,Capital,BTSA,Management,Piloter,Piloter
Conseiller accompagnement agricole,Transversal,Émergent,5,Conseiller agricole,Conseils & accompagnement transversal,Expertise - accompagnement humain - confiance,BTSA + modules Oya,Campagne/Flexible,Terrain,BTSA,Management,Former,Piloter
Accompagnateur reconversion,Transversal,Émergent,5,Coach reconversion,Conseils & accompagnement transversal,Empathie - guidance - transformation personnelle,Master coaching + modules Oya,Urbain,Capital,BTSA,Management,Former,Former
Consultant transition alimentaire,Transversal,Émergent,6,Consultant transition,Conseils & accompagnement transversal,Expertise - stratégie - impact systémique,Master + expérience,Flexible,Capital,Master,Management,Piloter,Piloter
Référent technique innovation,Transversal,Émergent,6,Expert technique,Pilotage territorial & PAT,Innovation - expertise - transmission,Master + modules Oya,Flexible,Capital,Master,Tech,Piloter,Piloter
Responsable collecte données,Transversal,Émergent,5,Data manager,Conseils & accompagnement transversal,Rigueur - impact données - transparence,Master data/environnement,Flexible,Capital,Master,Tech,Analyser,Piloter
